EAN_TEXT,Forecast 2023 3,Forecast 2023 4,Forecast 2023 5,Forecast 2023 6,Forecast 2023 7,Forecast 2023 8,Forecast 2023 9,Forecast 2023 10,Forecast 2023 11,Forecast 2023 12,Forecast 2024 1,Forecast 2024 2,Forecast 2024 3,Forecast 2024 4,Forecast 2024 5,Forecast 2024 6,Forecast 2024 7,Forecast 2024 8,Forecast 2024 9,Forecast 2024 10,Forecast 2024 11,Forecast 2024 12
EAN00602168919271,11,11,14,17,13,20,19,23,19,18,19,28,31,12,16,19,15,22,21,26,22,20
EAN00602168919639,5,5,5,4,5,6,7,7,6,7,8,11,10,5,5,5,6,7,7,8,7,8
EAN00602168919707,37,37,39,34,42,47,52,55,47,56,62,91,81,41,44,38,47,53,58,61,53,63
EAN00602168920000,68,68,71,62,77,86,95,100,86,102,112,166,148,76,80,69,87,96,107,112,96,115
EAN00602822700603,8,8,10,12,20,23,22,33,24,22,33,36,32,9,11,14,23,25,25,37,27,25
EAN00608631492319,11,11,13,16,27,30,30,44,32,30,44,48,43,12,15,18,30,34,33,49,36,33
EAN00608631492555,31,31,33,29,36,40,44,46,40,47,52,76,68,35,37,32,40,44,49,52,44,53
EAN00608631492562,31,31,33,29,36,40,44,46,40,47,52,76,68,35,37,32,40,44,49,52,44,53
EAN00608631492746,36,36,38,33,41,46,51,53,46,54,60,88,78,40,42,37,46,51,57,59,51,61
EAN00608631492920,36,36,38,33,41,46,51,53,46,54,60,88,78,40,42,37,46,51,57,59,51,61
EAN00733430532949,7,7,8,9,12,10,9,11,10,9,9,15,46,8,9,10,13,12,10,12,11,10
EAN00733430532987,4,4,4,4,5,5,6,6,5,6,7,10,9,4,5,4,5,6,6,7,6,7
EAN00733810235033,15,15,16,19,24,21,18,21,20,18,18,31,92,17,17,21,27,23,21,24,23,20
EAN00733810235132,260,260,225,355,347,256,288,293,245,300,300,375,413,291,252,397,388,287,322,328,275,336
EAN00733810235149,19,19,20,17,21,24,26,27,24,28,31,45,41,21,22,19,24,26,29,31,26,31
EAN00733810235156,33,33,35,31,38,42,47,49,42,50,55,82,73,37,39,34,43,47,53,55,47,56
EAN00733810235811,87,87,92,80,100,111,123,129,111,132,145,213,190,98,103,89,112,124,137,144,124,148
EAN00733810235828,31,31,32,28,35,39,43,46,39,47,51,75,67,34,36,32,39,44,49,51,44,52
EAN00733810235835,50,50,52,46,57,63,70,74,63,75,83,122,109,56,59,51,64,71,79,82,71,84
EAN00733810236436,9,9,22,28,29,28,30,23,29,30,31,33,48,10,25,32,33,32,33,26,32,33
EAN00733810236443,11,11,26,34,35,34,36,28,34,36,37,39,58,12,29,38,39,38,40,31,39,40
EAN00733810236504,43,43,64,58,58,75,58,64,68,87,97,135,145,48,72,65,65,84,65,72,76,97
EAN00733810236511,34,34,50,45,45,59,45,50,53,68,75,105,113,38,56,51,51,66,51,56,59,76
EAN00733810236528,26,26,39,35,35,45,35,39,41,53,58,82,88,29,44,39,39,51,39,44,46,59
EAN00733810236535,75,75,112,101,101,131,101,112,118,151,168,235,252,84,126,113,113,147,113,126,132,170
EAN00733810236542,179,179,268,241,241,312,241,268,281,361,402,562,602,200,300,270,270,350,270,300,315,405
EAN00733810236559,15,15,22,20,20,26,20,22,23,30,33,47,50,17,25,22,22,29,22,25,26,34
EAN00733810237969,155,155,177,194,144,121,116,121,127,170,214,240,295,174,198,218,161,135,130,135,142,190
EAN00733810237976,109,109,125,137,101,85,81,85,89,119,150,169,207,122,140,153,113,95,91,95,100,134
EAN00733810237983,85,85,97,106,79,66,63,66,69,93,117,132,161,95,109,119,88,74,71,74,78,104
EAN00733810238249,48,48,56,70,115,128,126,189,136,126,189,204,185,53,63,78,128,144,142,211,152,142
EAN00733810238263,7,7,9,11,18,20,20,30,21,20,30,32,29,8,10,12,20,23,22,33,24,22
EAN00733810238270,15,15,17,19,14,12,11,12,12,16,20,23,28,17,19,21,15,13,12,13,14,18
EAN00733810238287,19,19,21,23,17,14,14,14,15,20,25,29,35,21,24,26,19,16,15,16,17,23
EAN00733810238324,37,37,89,114,118,115,121,94,117,121,125,132,196,42,100,128,132,129,135,106,131,135
