EAN_TEXT,Brand,Descripcion,Source,Leadtime,Leadtime ex sourcing,Priority,Validated,Status,Total Lead Time,Buy-Plan to PO placed,PO placement to Advance Payment,Advance Payment to Production Ready,Production Ready to Loading ( includes Quality Qima),Loading to Departure,Puerto a Puerto,Customs clearance,Inland hasta Bodega,Puerto de origen,Maquila (VAS),Maquila Days,Leadtime 1,Leadtime ex sourcing 1,W10,Comentarios Sourcing,Chinese New Year - extra days (temporal)
EAN00733810238249,Gran Shopping,Camilla Para Masajes Profesional Plegable Spa Tatto,Import,122,112,P0,Yes,Activo,122,10,8,40,12,8,30,10,4,Ningbo,0,0,,,,,12
EAN00733810238263,Gran Shopping,Camilla Para Masajes Profesional Plegable Spa Tatto,Import,122,112,P1,Yes,Activo,122,10,8,40,12,8,30,10,4,Ningbo,0,0,,,,,12
EAN00733810238607,Gran Shopping,Camilla Para Masajes Profesional Plegable Spa Tatto,Import,122,112,P1,Yes,Activo,122,10,8,40,12,8,30,10,4,Ningbo,0,0,,,,,12
EAN00602168919271,Gran Shopping,Plancha Termofijadora Sublimadora Para Estampar Combo 9 En 1,Import,127,117,P0,Yes,Activo,127,10,8,45,12,8,30,10,4,Ningbo,0,0,,,,,12
EAN00608631492319,Gran Shopping,Sillon Silla Barbero Barberia Peluqueria Estetica Hidráulico,Import,127,117,P0,Yes,Activo,127,10,8,45,12,8,30,10,4,Ningbo,0,0,,,,,12
EAN07708113176171,Gran Shopping,Zapatera Organizador de Zapatos individual 10 Pares,Import,137,117,P1,Yes,Activo,137,20,8,45,12,8,30,10,4,Ningbo,0,0,,,,,
EAN00602822700603,Gran Shopping,Mueble Auxilar Estetica Salón De Belleza Carrito Con Ruedas,Import,127,117,P2,Yes,Activo,127,10,8,45,12,8,30,10,4,Ningbo,0,0,,,,,12
EAN06086314925004,Jardimanía,Mesa Portafolio Plegable 180cm Policarbonato Exterior Jardin,Import,137,127,P0,Yes,Activo,137,10,8,30,12,8,30,10,4,Ningbo,,,,,,,25
EAN07338102394998,Jardimanía,Mesa Portafolio Plegable 180cm Tipo Madera Plastico Jardin,Import,137,127,P0,Yes,Activo,137,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,25
EAN07502308502543,Jardimanía,Mesa plegable redonda 1.16m,Import,137,127,P1,Yes,Activo - NPD,137,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,25
EAN07502308502567,Jardimanía,Mesa plegable rectangular 0.5,Import,137,127,P2,Yes,Activo - NPD,137,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,25
EAN07502308503588,Jardimanía,Tapete Follaje Artificial Jardín Vertical 40x60cm X 1 Unds,Import,167,157,P1,Yes,Activo,167,10,8,30,12,8,60,10,4,Tianjin,,,,,,,25
EAN07708113176539,Jardimanía,Tapete Follaje Artificial Jardín Vertical 40x60cm X 10 Unds,Import,167,157,P0,Yes,Activo,167,10,8,30,12,8,60,10,4,Tianjin,1,10,,,,,25
EAN07708113176133,Jardimanía,Tapete Follaje Artificial Jardín Vertical 40x60cm X 20 Unds,Import,167,157,P0,Yes,Activo,167,10,8,30,12,8,60,10,4,Tianjin,1,10,,,,,25
EAN07708113176607,Jardimanía,Tapete Follaje Artificial Jardín Vertical 40x60cm X 50 Unds,Import,167,157,P0,Yes,Activo,167,10,8,30,12,8,60,10,4,Tianjin,1,10,,,,,25
EAN07708113176102,Jardimanía,Silla Cama plegable asoleadora jardín exterior piscina,Import,132,122,P0,Yes,Activo,132,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,20
EAN07708113176652,Jardimanía,Silla Cama plegable asoleadora jardín exterior piscina,Import,132,122,P0,Yes,Activo,132,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,20
EAN07708113176294,Jardimanía,Set Kit x 2 Sillas Cama Plegable Asoleadora Jardín Exterior Piscina,Import,132,122,P1,Yes,Activo,132,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,20
EAN07708113176072,Jardimanía,Set Kit x 2 Sillas Cama Plegable Asoleadora Jardín Exterior Piscina,Import,132,122,P1,Yes,Activo,132,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,20
EAN07502308502598,Jardimanía,2 Sillas y mesa (Juego de balcón),Import,137,127,P0,Yes,Activo - NPD,137,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,25
EAN07502308500181,Jardimanía,Trampolín Infantil 8 Ft 2.43 Mts Diámetro,Import,139,129,P0,Yes,Activo,139,10,8,40,12,8,30,10,4,Ningbo,,,,,,,17
EAN00733430532949,Jardimanía,Trampolin Brincolin Para Niños Con Red,Import,139,129,P0,Yes,Activo,139,10,8,40,12,8,30,10,4,Ningbo,0,0,,,,,17
EAN00733810235033,Jardimanía,Trampolin Brincolin Para Niños Con Red,Import,139,129,P0,Yes,Activo,139,10,8,40,12,8,30,10,4,Ningbo,0,0,,,,,17
EAN00733810239512,Jardimanía,Carpa Toldo 3x3 Reforzado + Paredes + Funda Transportadora,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810239529,Jardimanía,Carpa Toldo 3x3 Reforzado + Paredes + Funda Transportadora,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810239536,Jardimanía,Carpa Toldo 3x3 Reforzado + Paredes + Funda Transportadora,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810238553,Jardimanía,Toldo Carpa Plegable Ideal Para Eventos Parasol 2x2metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810238560,Jardimanía,Toldo Carpa Plegable Ideal Para Eventos Parasol 2x2metros,Import,165,155,P1,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810238577,Jardimanía,Toldo Carpa Plegable Ideal Para Eventos Parasol 2x2metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810236511,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x3 Metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810236528,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x3 Metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810236504,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x3 Metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN07708113176003,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x3 Metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810236542,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x4.5 Metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810236535,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x4.5 Metros,Import,165,155,P0,Yes,Activo,165,10,8,45,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN00733810236559,Jardimanía,Toldo Carpa Plegable Parasol Ideal Para Eventos 3x4.5 Metros,Import,150,140,P0,Yes,Activo,150,10,8,30,12,8,48,10,4,Jiangmen,0,0,,,,,20
EAN07502308502604,Jardimanía,Juego de Comedor Terraza Poltronas Plastico Rattan,Import,137,127,P0,Yes,Activo - NPD,137,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,25
EAN07502308502611,Jardimanía,Juego de Comedor Terraza Plegable Plastico Rattan,Import,137,127,P0,Yes,Activo - NPD,137,10,8,30,12,8,30,10,4,Ningbo,0,0,,,,,25
EAN07503030938266,Power&Co,"Soporte AXF-550 / Power & Co. Soporte de TV Fijo para Pantallas de 26"" a 65"" Pulgadas. Soporta 50 Kilos. VESA 400x400",Import,108,98,P2,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07503030938273,Power&Co,"Soporte AXF-700 /Power & Co. Soporte de TV Fijo para Pantallas de 32"" a 75"". Soporta hasta 80 Kilos en Algunos Modelos LED. VESA 600x400",Import,108,98,P2,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07503030938280,Power&Co,"Soporte AXT-550 / Power & Co. Soporte de TV con inclinación para Pantallas de 26""a 65"" Pulgadas. Soporta 50 Kilos. VESA 400x400",Import,108,98,P2,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07503024282764,Power&Co,"Soporte MP-1070 / Power & Co. Soporte de movilidad para la mayoría de TVs de 10"" a 55""pulgadas y algunos modelos LED hasta 60"". Acero súper reforzado. VESA Máximo 400x400",Import,108,98,P1,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07503027231493,Power&Co,"Soporte MT-1055 / Power & Co. Soporte de TV con Movilidad 3 Brazos de 26"" a 50""",Import,108,98,P1,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07503021493026,Power&Co,"Soporte SIL-2670 / Power & Co. Soporte de TV con inclinación para Pantallas de 32""a 75"" pulgadas. Soporta 70 Kilos. VESA 600x400",Import,108,98,P1,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07503027231639,Power&Co,"Soporte MT-1070 / Power & Co. Soporte de TV con Movilidad de 3 Brazos para Pantallas de 26"" a 60",Import,108,98,P1,Yes,Activo - NPD,108,10,8,90,0,0,0,0,0,Veracruz,0,0,,,,,
EAN07709084094686,Travel Elite,Juego Set 4 Maletas Rigidas Viaje 4 Ruedas Policarbonato,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07709533047928,Travel Elite,Juego Set 4 Maletas Rigidas Viaje 4 Ruedas Policarbonato,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07709084094600,Travel Elite,Juego Set 4 Maletas Rigidas Viaje 4 Ruedas Policarbonato,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07709468448555,Travel Elite,Juego Set 4 Maletas Rigidas Viaje 4 Ruedas Policarbonato,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308500334,Travel Elite,Juego Set 4 Maletas Rigidas Viaje 4 Ruedas Policarbonato,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN00733810238638,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Carry On,Import,112,107,P0,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN00733810238645,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Carry On,Import,112,107,P0,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN00733810238652,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Carry On,Import,112,107,P0,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN00733810239185,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Carry On,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308505391,Travel Elite,Maleta Sky Mano Carry-On ABS 16 pulgadas Oro Rosa,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501324,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Pequeña,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501331,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Pequeña,Import,112,107,P0,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501348,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Pequeña,Import,112,107,P0,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501355,Travel Elite,Maleta De Viaje Rigida Cabina Equipaje Mano 10 Kg Pequeña,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308505384,Travel Elite,Maleta Sky Pequeña ABS 20 pulgadas Oro Rosa,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501287,Travel Elite,Maleta De Viaje Rigida Mediana Bodega Policarbonato 4 Ruedas,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501294,Travel Elite,Maleta De Viaje Rigida Mediana Bodega Policarbonato 4 Ruedas,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501300,Travel Elite,Maleta De Viaje Rigida Mediana Bodega Policarbonato 4 Ruedas,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501317,Travel Elite,Maleta De Viaje Rigida Mediana Bodega Policarbonato 4 Ruedas,Import,112,107,P2,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308505377,Travel Elite,Maleta Sky Mediana ABS 24 pulgadas Oro Rosa,Import,112,107,P2,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501249,Travel Elite,Maleta De Viaje Rigida Grande Bodega Policarbonato 4 Ruedas,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501256,Travel Elite,Maleta De Viaje Rigida Grande Bodega Policarbonato 4 Ruedas,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501263,Travel Elite,Maleta De Viaje Rigida Grande Bodega Policarbonato 4 Ruedas,Import,112,107,P0,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501270,Travel Elite,Maleta De Viaje Rigida Grande Bodega Policarbonato 4 Ruedas,Import,112,107,P2,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308505360,Travel Elite,Maleta Sky Grande ABS 28 pulgadas Oro Rosa,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501164,Travel Elite,Set Kit 2 Maletas Rigidas Grande Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501171,Travel Elite,Set Kit 2 Maletas Rigidas Grande Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501188,Travel Elite,Set Kit 2 Maletas Rigidas Grande Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501195,Travel Elite,Set Kit 2 Maletas Rigidas Grande Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308505407,Travel Elite,Set 2 Maletas Sky Grande y Mano 28 y 16 Pulgadas Oro Rosa,Import,112,107,P2,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501201,Travel Elite,Set Kit 2 Maletas Rigidas Mediana Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501218,Travel Elite,Set Kit 2 Maletas Rigidas Mediana Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501225,Travel Elite,Set Kit 2 Maletas Rigidas Mediana Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN07502308501232,Travel Elite,Set Kit 2 Maletas Rigidas Mediana Bodega Mano 4 Ruedas Viaje,Import,112,107,P1,Yes,Activo,112,5,8,30,12,8,35,10,4,Shenzen,0,0,,,,,
EAN00733810236436,Urban Design,Silla Gamer Gaming Consola Pc Ergonomica Reclinable,Import,122,117,P0,Yes,Activo,122,5,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
EAN00733810236443,Urban Design,Silla Gamer Gaming Consola Pc Ergonomica Reclinable,Import,122,117,P0,Yes,Activo,122,5,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
EAN00733810238409,Urban Design,Silla Gamer Gaming Consola Pc Ergonomica Reclinable,Import,122,117,P0,Yes,Activo,122,5,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
EAN07709468448593,Urban Design,Silla Gamer Gaming Consola Pc Ergonomica Reclinable,Import,122,117,P0,Yes,Activo,122,5,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
EAN00733810238393,Urban Design,Silla Gamer Gaming Consola Pc Ergonomica Reclinable,Import,127,117,P1,Yes,Activo,127,10,8,45,12,8,30,10,4,ningbo,0,0,,,,,18
EAN07502308502253,Urban Design,Silla Gamer Oficina Giratoria Ergonómica Reclinable PC,Import,127,117,P0,Yes,Activo,127,10,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
EAN07502308502246,Urban Design,Silla Gamer Oficina Giratoria Ergonómica Reclinable PC,Import,127,117,P1,Yes,Activo,127,10,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
EAN07502308502239,Urban Design,Silla Gamer Oficina Giratoria Ergonómica Reclinable PC,Import,127,117,P0,Yes,Activo,127,10,8,45,12,8,30,10,4,Ningbo,0,0,,,,,18
