report_updated_at,po_issued_date,id,order_number,status,sku,part.id,name_y,tags_y,quantity,unit_price_micros,unit_price,total_cost,currency,incoterms,payment_terms,brand,description_yuju,Categoria,Subcategoria,Producto,priority,reason,category,buyer,Lead,tags_x,shipping_method,target_delivery_date,supplier.name,supplier.address_line1,supplier.country,supplier.id,ships_to.company_line1,ships_to.country,PreProductionMilestone,ProductionMilestone,OnTrackToShipMilestone,ShipmentMilestone,DeliveryMilestone,mass_production_starts_on,target_ship_date,estimated_ship_date,past_due,original_ships_on,pol,loaded_to_etd,etd_to_eta_port,eta_port_to_custom_clereance,custom_clereance_to_warehouse,total_tt,eta_theoretical,eta_anvyl,best_eta,eta_source,days_to_shipment,upcoming_shipment,normalized_cost_usd,ots_usd,ots_qty,ots_raw,theoretical_lt,actual_lt,estimated_e2e_lead_time,est_advanced_payment,est_outstanding_payment,week_in_month,current_week,current_month,current_year,target_ship_date_week,target_ship_date_month,target_ship_date_year,week_filter,year_filter,month_filter,estimated_ship_date_week,estimated_ship_date_month,estimated_ship_date_year,week_filter_estimated_ship,year_filter_estimated_ship,month_filter_estimated_ship,estimated_e2e_lead_time_year,year_filter_eta,country_code,taskable.id,01.labels_manuals_ship_marks (Sup),02.advance_payment (Src),03.labels_manuals_ship_marks (Src),04.production_ready (Sup),05.quality_audit (Src),06.documents_hand_over (Sup),07.transportation_hand_over (Tpt),08.booking_requested (Tpt),09.booking_confirmation (Tpt),10.container_loading_audit (Tpt),11.bill_of_lading (Tpt),12.outstanding_payment (Src),13.departure (Tpt),14.arrival_at_port (Tpt),15.in_customs (Tpt),16.wh_delivery (Tpt),flag
3/14/2023 3:23,1/20/2022 0:31,52896,VLR-000116,active,7708113176539,193023,1 piece Milan grass 60x40cm,['JARDINMANIA'],10000,900000,0.9,9000,USD,,30% IN ADVANCE AND 70% BALANCE,Jardimania,10 Pzs Muro Verde Follaje Artificial TUPIDO 60x40cm,"Hogar, Muebles, Cocina y Jardín",Jardín,Muros Verdes,Y,FIRST BR IMPORT,Lifestyles,Tereza,Tereza,['TEREZA'],ocean,4/4/2022,"HEBEI SHENGLUN COMMERCE CO.,LTD","WANGE TWON RENQIU CITY HEBEI PROVINCE,CHINA",CN,22334,NOVASTREET COMERCIO DIGITAL LTDA,BR,accepted,accepted,accepted,confirmation_timedout,inactive,2/10/2022 0:00,3/31/2022 0:00,8/31/2022 0:00,past_due,2/25/2022 0:00,Tianjin,0,48,10,2,60,10/30/2022 0:00,9/5/2022 0:00,9/5/2022 0:00,anvyl_data,-196,-,9000,0,0,LATE,69,222,227,2700,6300,5,11,3,2023,13,3,2022,upcoming,,,35,8,2022,upcoming,,upcoming,2022,,3,52896,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,incomplete,custom_milestones
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320105,167740,Sillón,[],6,2955100000,2955.1,17730.6,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonWorcesterQAsh,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,886.53,0,0,LATE,33,317,317,0,886.53,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320112,167742,Sillón,[],6,2955100000,2955.1,17730.6,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonWorcesterQGraphite,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,886.53,0,0,LATE,33,317,317,0,886.53,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320129,167741,Sillón,[],3,2955100000,2955.1,8865.3,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonWorcesterQBlue,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,443.265,0,0,LATE,33,317,317,0,443.265,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289325865,167754,Sofá,[],2,6874650000,6874.65,13749.3,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,Sofa Worcester Quantum Ash,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,687.465,0,0,LATE,33,317,317,0,687.465,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289325858,167753,Sofá,[],3,6874650000,6874.65,20623.95,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,Sofa Worcester Quantum Ash,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,1031.1975,0,0,LATE,33,317,317,0,1031.1975,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289325834,167752,Sofá,[],3,6874650000,6874.65,20623.95,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,Sofa Worcester Quantum Ash,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,1031.1975,0,0,LATE,33,317,317,0,1031.1975,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289325728,167751,Sofá,[],2,5951220000,5951.22,11902.44,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SofaSkaraQGraphite,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,595.122,0,0,LATE,33,317,317,0,595.122,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289325711,167750,Sofá,[],2,5951220000,5951.22,11902.44,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SofaSkaraQBlue,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,595.122,0,0,LATE,33,317,317,0,595.122,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289325698,167749,Sofá,[],2,5951220000,5951.22,11902.44,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SofaSkaraQAsh,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,595.122,0,0,LATE,33,317,317,0,595.122,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
